Set: Salvatore Gaia | File: Elsword\Resources\Enum.lua | Line: 116 | ID/Key: TA_CENTER_LEFT=4 | Context: SGI_GAIA			= 1,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4623 | ID/Key: NUI_NPC_CHUNG_03=907 | Context: NUI_HENIR_CRYSTAL_TRAP_RIGHT					= 915,		-- 헤니르의 시공 타란바슈 스테이지의 거울(우측)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4624 | ID/Key: NUI_NPC_CHUNG_04=908 | Context: NUI_HENIR_CODE_Q_PROTO_00						= 916,		-- 헤니르의 시공 정예로 등장하는 에픽NPC 프로토0(난이도 낮음)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4625 | ID/Key: NUI_NPC_CHUNG_05=909 | Context: NUI_HENIR_APPLE									= 917,		-- 헤니르의 시공 정예로 등장하는 에픽NPC 애플(난이도 낮음)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4673 | ID/Key: NUI_VELDER_WRECK2=939 | Context: NUI_HENIR_CLEAR_GLAVE							= 949,		-- 헤니르의 시공 클리어(최종) 스테이지 글레이브(클리어 시간에 따른 대사 있음)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4676 | ID/Key: NUI_VELDER_WRECK5=942 | Context: --헤니르 몬스터 체크 리스트---
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4677 | ID/Key: NUI_GLITER_TOMBSTONE=943 | Context: NUI_HENIR_CUT_REPORTER_ELDER					= 950,		-- 엘더-베스마 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4678 | ID/Key: NUI_GLITER_TOMBSTONE=943 | Context: NUI_HENIR_CUT_REPORTER_BESMA					= 951,		-- 베스마-알테라 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4679 | ID/Key: NUI_GLITER_ZOMBIE=944 | Context: NUI_HENIR_CUT_REPORTER_ALTERA					= 952,		-- 알테라-페이타 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4680 | ID/Key: NUI_GIANT_UNOHOUND=945 | Context: NUI_HENIR_CUT_REPORTER_PEITA					= 953,		-- 페이타-벨더 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4681 | ID/Key: NUI_GIANT_UNOHOUND=945 | Context: NUI_HENIR_CUT_REPORTER_VELDER					= 954,		-- 벨더-하멜 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4682 | ID/Key: NUI_GIANT_PUPPET=946 | Context: NUI_HENIR_CUT_REPORTER_HAMEL					= 955,		-- 하멜-샌더 사이 휴식방
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4686 | ID/Key: NUI_HENIR_CLEAR_GLAVE=949 | Context: NUI_HENIR_RAN									= 957,		-- 헤니르의 시공 란
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4687 | ID/Key: NUI_HENIR_CLEAR_GLAVE=949 | Context: NUI_HENIR_GLITER_NECROMANCER_BOSS				= 958,		-- 헤니르의 시공 정예 듀터
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4688 | ID/Key: NUI_HENIR_CUT_REPORTER_ELDER=950 | Context: NUI_HENIR_GLITER_HAMMER_BOSS					= 959,		-- 헤니르의 시공 정예 크래쉬
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4689 | ID/Key: NUI_HENIR_CUT_REPORTER_ELDER=950 | Context: NUI_HENIR_GLITER_ARCHER_BOSS					= 960,		-- 헤니르의 시공 정예 프록시
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4750 | ID/Key: NUI_WYVERN_TRANSFORM=990 | Context: NUI_HENIR_GLITER_VANGUARD 						    = 999,     -- 헤니르의 시공 글리터 뱅가드(현재 뱅가드 스테이지 오류로 안쓰임)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 5745 | ID/Key: NUI_ADEL=10012 | Context: NUI_GLAVE                                       = 10026,	-- (공통) 글레이브		: 헤니르의 시공
Set: Miracle Alchemist | File: Elsword\Resources\Enum.lua | Line: 6282 | ID/Key: DLT_VILLAGE=0 | Context: HT_ALCHEMIST_HOUSE  = 5,
Set: Miracle Alchemist | File: Elsword\Resources\Enum.lua | Line: 6296 | ID/Key: HT_ALCHEMIST_HOUSE=5 | Context: HI_ECHO_ALCHEMIST_HOUSE		= 40004,
Set: Miracle Alchemist | File: Elsword\Resources\Enum.lua | Line: 6305 | ID/Key: HI_INVALID=0 | Context: HI_AMOS_ALCHEMIST_HOUSE		= 40013,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9047 | ID/Key: UTICM_EXIT=30000 | Context: --{{ kimhc // 2009-07-10 // 헤니르의 시공에 추가되는 Ranking UI 작업
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9052 | ID/Key: UTICM_EXIT=30000 | Context: URICM_SELECT_HENIR_TAP				= 31001,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9063 | ID/Key: URICM_EXIT=31000 | Context: URICM_SELECT_EVENT_HENIR_BUTTON		= 31010,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9088 | ID/Key: URICM_PAGE_SEARCH_FOCUS=31019 | Context: --}} kimhc // 2009-07-10 // 헤니르의 시공에 추가되는 Ranking UI 작업
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9110 | ID/Key: NSUM_INSERT_MESSAGE_OK=32001 | Context: --{{ kimhc // 2009-07-26 // 헤니르의 시공에 추가되는 ITEM_EXCHANGE_SHOP 작업
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9125 | ID/Key: IESCM_EXIT=33000 | Context: --}} kimhc // 2009-07-26 // 헤니르의 시공에 추가되는 ITEM_EXCHANGE_SHOP 작업
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9780 | ID/Key: IET_INVALID=0 | Context: DT_HENIR		= 2,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9790 | ID/Key: DT_INVALID=0 | Context: DM_HENIR_PRACTICE	= 1,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 9791 | ID/Key: DT_INVALID=0 | Context: DM_HENIR_CHALLENGE	= 2,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 10958 | ID/Key: BTI_BUFF_PET_AURA_SKILL=139 | Context: BTI_BUFF_HENIR_FIRE								= 147,	-- 헤니르 버프 - 불의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 10959 | ID/Key: BTI_BUFF_PET_AURA_SKILL=139 | Context: BTI_BUFF_HENIR_WATER							= 148,	-- 헤니르 버프 - 불의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 10960 | ID/Key: BTI_BUFF_MECHANIZATION_SPEED_UP=140 | Context: BTI_BUFF_HENIR_NATURE							= 149,	-- 헤니르 버프 - 땅의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 10961 | ID/Key: BTI_SI_SA_EEG_ATOMIC_SHIELD=141 | Context: BTI_BUFF_HENIR_WIND								= 150,	-- 헤니르 버프 - 바람의 생
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 10962 | ID/Key: BTI_SI_SA_EEG_ATOMIC_SHIELD=141 | Context: BTI_BUFF_HENIR_LIGHT							= 151,	-- 헤니르 버프 - 빛의 샘
Set: Salvatore Ventus | File: Elsword\Resources\Enum.lua | Line: 11030 | ID/Key: BTI_BUFF_BREAKING_MEMO=186 | Context: BTI_BUFF_ELIXIR_FEATHER_OF_VENTUS				= 196,	-- 어둠의 문 영약 : 벤투스의 날개깃
Set: Salvatore Rosso | File: Elsword\Resources\Enum.lua | Line: 11031 | ID/Key: BTI_BUFF_FIELD_DEFENCE=187 | Context: BTI_BUFF_ELIXIR_FLAME_RING_OF_ROSSO				= 197,	-- 어둠의 문 영약 : 로쏘의 화염고리
Set: Salvatore Rosso | File: Elsword\Resources\Enum.lua | Line: 11035 | ID/Key: BTI_BUFF_GATE_DEFENCE=189 | Context: BTI_DEBUFF_ELIXIR_FLAME_RING_OF_ROSSO			= 200,	-- 어둠의 문 영약 : 로쏘의 화염고리 디버프
Set: Shadow | File: Elsword\Resources\Enum.lua | Line: 11219 | ID/Key: BFI_SI_P_COMMON_REVERSAL_SOLDIER=21 | Context: BFI_SHADOW_DEFENDER_BARRIER						=	35	,	-- 섀도우 디펜더 방어막
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11331 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_2_90=133 | Context: BFI_BUFF_HENIR_FIRE								=	147	,	-- 헤니르 버프 - 불의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11332 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_2_100=134 | Context: BFI_BUFF_HENIR_WATER							=	148	,	-- 헤니르 버프 - 물의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11333 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_3_DEFAULT=135 | Context: BFI_BUFF_HENIR_NATURE							=	149	,	-- 헤니르 버프 - 땅의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11334 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_3_70=136 | Context: BFI_BUFF_HENIR_WIND								=	150	,	-- 헤니르 버프 - 바람의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11335 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_3_80=137 | Context: BFI_BUFF_HENIR_LIGHT							=	151	,	-- 헤니르 버프 - 빛의 샘
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11336 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_3_90=138 | Context: BFI_DEBUFF_HENIR_FIRE							=	152	,	-- 헤니르 버프 - 불의 샘 디버프 파이어
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11337 | ID/Key: BFI_BUFF_PET_AURA_SKILL_LEVEL_3_100=139 | Context: BFI_DEBUFF_HENIR_WATER							=	153	,	-- 헤니르 버프 - 물의 샘 디버프 콜드
Set: Salvatore Ventus | File: Elsword\Resources\Enum.lua | Line: 11375 | ID/Key: BFI_BUFF_ANGER_OF_UOOL=177 | Context: BFI_BUFF_ELIXIR_FEATHER_OF_VENTUS				=	191	,	-- 어둠의 문 영약 : 벤투스의 날개깃
Set: Salvatore Rosso | File: Elsword\Resources\Enum.lua | Line: 11376 | ID/Key: BFI_STONE_GOD_TIRED=178 | Context: BFI_BUFF_ELIXIR_FLAME_RING_OF_ROSSO				=	192	,	-- 어둠의 문 영약 : 로쏘의 화염고리
Set: Shadow | File: Elsword\Resources\Enum.lua | Line: 11403 | ID/Key: BFI_BUFF_TRADE_BLOCK=205 | Context: BFI_SHADOW_BODY									= 219,  -- 아이샤 섀도우 바디
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 11702 | ID/Key: RSM_PASS_DASH=4 | Context: RIOET_MONSTER_CARD_SET			= 2,	-- 헤니르 시공 관련 몬스터 카드 셋트
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 71654 | ID/Key: 30053 | Context: m_Description = "Made by Shadow Lizardmen with shade patterns embedded.  The looks are made to be deceptive.",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 71950 | ID/Key: 30062 | Context: m_Name = "(Old)Antique Shadow Cannon",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 72010 | ID/Key: 30063 | Context: m_Name = "(Old)Antique Shadow Sword",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 72131 | ID/Key: 30065 | Context: m_Description = "This is proof that you have defeated the Shadow Monster!",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 72191 | ID/Key: 30066 | Context: m_Description = "This is proof that you have defeated the Shadow Monster!",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 74194 | ID/Key: 30101 | Context: m_Name = "(Old)Shadow Cannon",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 74254 | ID/Key: 30102 | Context: m_Name = "(Old)Shadow Sword",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 75456 | ID/Key: 30122 | Context: m_Description = "Made by Shadow Lizardmen with shade patterns embedded.  The looks are made to be deceptive.",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 75646 | ID/Key: 30156 | Context: m_Name = "Shadow Sabre",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 77805 | ID/Key: 30190 | Context: m_Description = "This small seal came from Shadow Master. This is proof that you have defeated him.",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 79508 | ID/Key: 30216 | Context: m_Name = "Shadow Cannon",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 79577 | ID/Key: 30217 | Context: m_Name = "(Cannot use) Shadow Sabre",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 80957 | ID/Key: 30237 | Context: m_Description = "Made by Shadow Lizardmen with shade patterns embedded.  The looks are made to be deceptive.",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 138574 | ID/Key: 61205 | Context: m_Description = "This Piece can only be obtained from Henir’s Time and Space. Go to Glave to exchange this for equipments or consumables.",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 138578 | ID/Key: 61205 | Context: m_DropViewer = "DropItemHenire",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 138609 | ID/Key: 61206 | Context: m_DropViewer = "DropItemHenire",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 138639 | ID/Key: 61207 | Context: m_DropViewer = "DropItemHenire",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 164961 | ID/Key: 69260 | Context: m_Name = "Henir Ruler's Sword",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165021 | ID/Key: 69261 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165079 | ID/Key: 69262 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165138 | ID/Key: 69263 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165197 | ID/Key: 69264 | Context: m_Name = "Henir Ruler's Shoes",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165257 | ID/Key: 69265 | Context: m_Name = "Henir Ruler's Staff",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165317 | ID/Key: 69266 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165375 | ID/Key: 69267 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165434 | ID/Key: 69268 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165493 | ID/Key: 69269 | Context: m_Name = "Henir Ruler's Shoes",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165553 | ID/Key: 69270 | Context: m_Name = "Henir Ruler's Bow",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165613 | ID/Key: 69271 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165671 | ID/Key: 69272 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165730 | ID/Key: 69273 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165789 | ID/Key: 69274 | Context: m_Name = "Henir Ruler's Shoes",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165849 | ID/Key: 69275 | Context: m_Name = "Henir Ruler's Blade",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165909 | ID/Key: 69276 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 165967 | ID/Key: 69277 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166026 | ID/Key: 69278 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166085 | ID/Key: 69279 | Context: m_Name = "Henir Ruler's Shoes",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166145 | ID/Key: 69280 | Context: m_Name = "Henir Ruler's Drone",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166207 | ID/Key: 69281 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166265 | ID/Key: 69282 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166324 | ID/Key: 69283 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 166383 | ID/Key: 69284 | Context: m_Name = "Henir Ruler's Shoes",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 166891 | ID/Key: 69300 | Context: m_Name = "Monster Card 'Shadow Warrior'",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 167922 | ID/Key: 69334 | Context: m_Name = "Monster Card 'Shadow Warrior' Gold",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 170669 | ID/Key: 69418 | Context: m_Description = "An exchange ticket for Henir Ruler’s Weapon!\n\nThis item possesses the power of Chaos Time and Space but it is impossible to use!\nTake it to Glave to exchange it for an item that you can use!",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 170703 | ID/Key: 69419 | Context: m_Description = "An exchange ticket for Henir Ruler’s Top Piece!\n\nThis item possesses the power of Chaos Time and Space but it is impossible to use!\nTake it to Glave to exchange it for an item that you can use!",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 170737 | ID/Key: 69420 | Context: m_Description = "An exchange ticket for Henir Ruler’s Bottom Piece!\n\nThis item possesses the power of Chaos Time and Space but it is impossible to use!\nTake it to Glave to exchange it for an item that you can use!",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 170771 | ID/Key: 69421 | Context: m_Description = "An exchange ticket for Henir Ruler’s Gloves!\n\nThis item possesses the power of Chaos Time and Space but it is impossible to use!\nTake it to Glave to exchange it for an item that you can use!",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 170805 | ID/Key: 69422 | Context: m_Description = "An exchange ticket for Henir Ruler’s Shoes!\n\nThis item possesses the power of Chaos Time and Space but it is impossible to use!\nTake it to Glave to exchange it for an item that you can use!",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 173789 | ID/Key: 69474 | Context: m_Name = "Henir Ruler's Cannon",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 173849 | ID/Key: 69475 | Context: m_Name = "Henir Ruler's Top Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 173907 | ID/Key: 69476 | Context: m_Name = "Henir Ruler's Bottom Piece",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 173966 | ID/Key: 69477 | Context: m_Name = "Henir Ruler's Gloves",
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Item.lua | Line: 174025 | ID/Key: 69478 | Context: m_Name = "Henir Ruler's Shoes",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 182667 | ID/Key: 72500 | Context: m_Description = "Fire/Poison/Removes Curse\n\nA delicious pie baked for the Harmony Festival. These pies will be handed out for free from the alchemists for the party!\n\n(Will be removed after the event)",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 185488 | ID/Key: 78330 | Context: m_Description = "In order to enter the Secret Dungeon of Velder's Hallucination, you must go to the Glitter Alchemist and drink the Stimulant. This will prevent you from hallucinating.",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 185955 | ID/Key: 78440 | Context: m_Description = "Orbs that are empty inside. You can purchase them from Alchemists in villages.",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 186521 | ID/Key: 78610 | Context: m_Description = "A darkness is sealed within this mysterious jewel. The rarity and delicacy make this item very popular.\nYou can exchange this for useful items from each town’s Alchemist.\n(Acquired upon clearing Gate of Darkness)",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 188191 | ID/Key: 78677 | Context: m_Name = "Monster Card ‘Glitter Alchemist’",
Set: Miracle Alchemist | File: Elsword\Resources\Item.lua | Line: 188192 | ID/Key: 78677 | Context: m_Description = "A mysterious card that contains the soul of Monster [Glitter Alchemist]\n\nUse this card in a dungeon to summon Glitter Alchemist for a certain period of time.\nYou can summon the monster without consuming the card inside Free Training mode.\n\nDuration: 180 sec.\nCooldown: 250 sec.\n\n<Reusable Group: Monster Card>",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 188314 | ID/Key: 78680 | Context: m_Name = "Monster Card ‘Shadow Walker’",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 188315 | ID/Key: 78680 | Context: m_Description = "A mysterious card that contains the soul of Monster [Shadow Walker]\n\nUse this card in a dungeon to summon Shadow Walker for a certain period of time.\nYou can summon the monster without consuming the card inside Free Training mode.\n\nDuration: 180 sec.\nCooldown: 250 sec.\n\n<Reusable Group: Monster Card>",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 188519 | ID/Key: 78685 | Context: m_Name = "Monster Card ‘Shadow Defender’",
Set: Shadow | File: Elsword\Resources\Item.lua | Line: 188520 | ID/Key: 78685 | Context: m_Description = "A mysterious card that contains the soul of Monster [Shadow Defender]\n\nUse this card in a dungeon to summon Shadow Defender for a certain period of time.\nYou can summon the monster without consuming the card inside Free Training mode.\n\nDuration: 180 sec.\nCooldown: 250 sec.\n\n<Reusable Group: Monster Card>",
